,Наименование,Город,ИНН,Благонадежный (да/нет),Маил Добро,Маил Добро ссылка,Ссылка на сайт,Нужна помощь,Нужна помощь Описание,Нужна помощь Ссылка,Нужна помощь Фонд
0,"Благотворительный фонд социальной поддержки населения ""Вместе""",Благовещенск РБ,224950320.0,да,Благотворительный фонд «Гольфстрим»,https://dobro.mail.ru/funds/bf-golfstrim/,http://www.golfstreamfond.ru/,Только вместе,Экологичная инклюзия с заботой о равном детстве,17761.0,https://nuzhnapomosh.ru/funds/tolyko-vmeste/
1,Благотворительный фонд помощи тяжело больным детям «Особенные дети»,Уфа,272902492.0,да,Благотворительный фонд «Гольфстрим»,https://dobro.mail.ru/funds/bf-golfstrim/,http://www.golfstreamfond.ru/,Только вместе,Экологичная инклюзия с заботой о равном детстве,17761.0,https://nuzhnapomosh.ru/funds/tolyko-vmeste/
2,"Автономная некоммерческая медицинская организация ""Уфимский хоспис""",Уфа,274950766.0,да,Благотворительный образовательный фонд «Мархамат»,https://dobro.mail.ru/funds/blagotvoritelnyij-obrazovatelnyij-fond-marhamat/,http://fond-marhamat.ru/,Благосфера,"Городская площадка, креативное пространство для участия в благотворительности и социальной активности",234176.0,https://nuzhnapomosh.ru/funds/blagosfera/
3,"Детский Благотворительный Фонд ""С Любовью""",Уфа,274990342.0,да,Благотворительный фонд помощи детям с синдромом Дауна «Даунсайд Ап»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-daunsajd-ap/,https://downsideup.org/ru,Благотворительный фонд имени Марины Гутерман,Адресная  и системная помощь больным детям Костромской области,67406.0,https://nuzhnapomosh.ru/funds/blagotvoritelynyy-fond-imeni-mariny-guterman/
4,"Благотворительный фонд помощи тяжелобольным детям ""Потерь нет""",Уфа,276980491.0,да,Благотворительный фонд помощи тяжелобольным детям «Потерь нет»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-pomoschi-tyazhelobolnyim-detyam-poter-net-3/,http://poter-net.ru/,Потерь нет,"Помощь детям с онкологическими заболеваниями, организация реабилитации выздоровевших детей",1752858.0,https://nuzhnapomosh.ru/funds/potery-net/
5,"Благотворительный Фонд экологического просвещения, социальной поддержки населения, развития народных ремесел и декоративно-прикладного творчества ""Твердая почва""","г. Уфа , Республика Башкортостан",277921731.0,да,Благотворительный фонд «Дети России»,https://dobro.mail.ru/funds/deti-rossii/,http://help-children.net/,Волгоградский областной благотворительный фонд защиты животных,Помощь бездомным животным Волгоградской области,552093.0,https://nuzhnapomosh.ru/funds/volgogradskiy-oblastnoy-blagotvoritelynyy-fond-zaschity-ghivotnyh/
6,"Благотворительный фонд ""Благо Дари""",Гатчина,326544905.0,да,Благотворительный фонд «Красивые дети в красивом мире»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-krasivyie-deti-v-krasivom-mire/,https://www.detipriroda.ru,Клуб «Во благо»,"Интеллектуальный клуб поддерживает врачей-онкологов, больницы, художников, галереи. ",3320.0,https://nuzhnapomosh.ru/funds/klub-vo-blago/
7,"Благотворительный фонд ""Надежда""","Москва, Махачкала, Лондон",571000615.0,да,Благотворительный фонд помощи бездомным животным «НИКА»,https://dobro.mail.ru/funds/fond-pomoschi-bezdomnyim-zhivotnyim-nika/,http://fond-nika.ru/,ЦСП «Надежда»,Помощь пожилым людям и людям с инвалидностью,764349.0,https://nuzhnapomosh.ru/funds/ano-csp-nadeghda/
8,"Благотворительный фонд содействия образовательным, культурным и социальным проектам ""Село""",Москва,573006884.0,да,Благотворительный фонд «Гольфстрим»,https://dobro.mail.ru/funds/bf-golfstrim/,http://www.golfstreamfond.ru/,,,,0
9,"Некоммерческая организация благотворительный фонд ""Мял""",Магас,608012458.0,да,Благотворительный фонд «АиФ. Доброе сердце»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-aif-dobroe-serdtse/,http://dobroe.aif.ru/,,,,0
10,"Карельская региональная общественная организация защиты животных ""Первый приют""",Петрозаводск,1001106971.0,да,Благотворительный фонд «Кислород»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-kislorod/,http://bf-kislorod.ru/,,,,0
11,"Карельская региональная общественная организация помощи лицам, страдающим психическими расстройствами, их родственников и специалистов, работающих в сфере психического здоровья ""Преодоление""",Кондопога,1003103366.0,да,Благотворительный фонд «Преодоление»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-preodolenie/,http://fond68.ru/,,,,0
12,Фонд «Друзья»,Москва,7704314253.0,да,Благотворительный фонд «Друзья»,https://dobro.mail.ru/funds/blagotvoritelnyj-fond-druzya/,Нет,,,,0
13,Добрая Марий Эл,Йошкар-Ола,1215072744.0,да,Благотворительный фонд «Твори добро»,https://dobro.mail.ru/funds/tvori-dobro/,http://www.bftd.ru/,,,,0
14,"Автономная некоммерческая организация гражданско-патриотического развития молодежи ""Подвиги""",Саранск,1326251467.0,да,,,,,,,0
15,"РОД ""Ресурсный центр социальных технологий Республики Саха (Якутия)""",Якутск,1435231598.0,да,,,,,,,0
16,"Автономная некоммерческая организация ""Центр содействия реализации социально-культурных и благотворительных проектов ""Филантроп""",Казань,1659182731.0,да,,,,,,,0
17,"АНО ""Центр организации спортивно-массовых мероприятий ""СПОРТ БУДУЩЕГО""",Казань,1660316309.0,да,,,,,,,0
18,Фонд Светланы Изамбаевой,Казань,1661023908.0,да,,,,,,,0
19,"Благотворительный фонд ""Подари ЗАВТРА!""",Ижевск,1831155301.0,да,Благотворительный фонд «Подари ЗАВТРА!»,https://dobro.mail.ru/funds/blagotvoritelnyij-fond-podari-zavtra/,http://podarizavtra.ru/,Подари ЗАВТРА!,"Помощь детям с ОВЗ из Удмуртии в оплате диагностики и лечения заболеваний, в приобретении лекарств",484980.0,https://nuzhnapomosh.ru/funds/podari-zavtra/
20,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИЛЬНЫЕ ДЕТИ""",Чебоксары,2124042134.0,нет,,,,,,,0
21,"Чувашская региональная общественная организация содействия в решении социальных проблем семьи и человека ""МИР ДОБРА""",Чебоксары,2130996604.0,да,,,,,,,0
22,"ФОНД ПОМОЩИ МНОГОДЕТНЫМ И МАЛОИМУЩИМ СЕМЬЯМ, ДЕТЯМ-СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ И ЛЮДЯМ, ПОПАВШИМ В СЛОЖНУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ОБЛАКА""",Барнаул,2222848892.0,да,,,,,,,0
23,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""АУРЕЯ""",УЯР,2440006230.0,нет,,,,,,,0
24,Красноярский Региональный Фонд «Красноярье без сирот»,Красноярск,2465117252.0,да,,,,,,,0
25,"Автономная некоммерческая организация ""Центр социально-психологической реабилитации онкологических больных и лиц групп риска ""ВМЕСТЕ ПРОТИВ РАКА""",Красноярск,2465117767.0,да,,,,,,,0
26,"Детский благотворительный фонд ""Счастливые дети""",Красноярск,2465310993.0,да,Детский благотворительный фонд «Счастливые дети»,https://dobro.mail.ru/funds/detskij-blagotvoritelnyij-fond-schastlivyie-deti-2/,https://happydeti24.ru/,Счастливые дети,"Детский благотворительный фонд ""Счастливые дети"" оказывает помощь детям-сиротам",4830757.0,https://nuzhnapomosh.ru/funds/schastlivye-deti/
27,"Благотворительный фонд помощи детям ""Ренессанс""",Владивосток,2543155339.0,да,,,,,,,0
